date,open,high,low,close,volume,close_t+1,close_t+3,close_t+5,close_t+7,open_close_t+1_%chg,open_close_t+3_%chg,open_close_t+5_%chg,open_close_t+7_%chg
2020-07-02,5.0,5.0,5.0,5.0,100,10.2,10.1,10.48,,1.04,1.02,1.1,
2020-07-06,10.35,10.36,10.15,10.2,20700,10.17,10.11,,,-0.02,-0.02,,
2020-07-07,10.22,10.27,10.17,10.17,619400,10.1,10.48,,,-0.01,0.03,,
2020-07-08,10.22,10.22,10.08,10.1,212600,10.11,,,,-0.01,,,
2020-07-09,10.1,10.13,10.05,10.11,920100,10.48,,,,0.04,,,
2020-07-10,10.15,10.5,10.09,10.48,981100,,,,,,,,
