open,high,low,close,volume,datetime,date,ticker,open_t+1,close_t+1,close_t+2,close_t+3,close_t+4,close_t+5,close_t+6,close_t+7,close_t+8,close_t+9,close_t+10,close_t+11,close_t+12
9.79,9.8,9.79,9.8,250028,2020-08-14 01:00:00.000000,2020-08-14,MLAC,9.79,9.8,9.8,9.75,9.75,9.7,9.77,,,,,,
10.0,10.0,9.8,9.8,1112,2020-08-18 01:00:00.000000,2020-08-18,MLAC,9.75,9.75,9.75,9.7,9.77,,,,,,,,
9.75,9.75,9.75,9.75,621,2020-08-19 01:00:00.000000,2020-08-19,MLAC,9.75,9.75,9.7,9.77,,,,,,,,,
9.75,9.75,9.75,9.75,746,2020-08-20 01:00:00.000000,2020-08-20,MLAC,9.72,9.7,9.77,,,,,,,,,,
9.72,9.73,9.7,9.7,205313,2020-08-21 01:00:00.000000,2020-08-21,MLAC,9.77,9.77,,,,,,,,,,,
9.77,9.77,9.77,9.77,204,2020-08-24 01:00:00.000000,2020-08-24,MLAC,,,,,,,,,,,,,
