date,open,high,low,close,volume,close_t+1,close_t+3,close_t+5,close_t+7,open_close_t+1_%chg,open_close_t+3_%chg,open_close_t+5_%chg,open_close_t+7_%chg
2020-07-01,12.3,12.7,11.75,12.0,429000,9.3,6.76,7.35,,-0.24,-0.45,-0.4,
2020-07-02,10.74,12.31,8.51,9.3,976495,7.84,8.4,6.45,,-0.27,-0.22,-0.4,
2020-07-06,9.65,9.94,7.4,7.84,850900,6.76,7.35,,,-0.3,-0.24,,
2020-07-07,7.03,7.48,6.69,6.76,455500,8.4,6.45,,,0.19,-0.08,,
2020-07-08,6.99,8.72,5.85,8.4,2276800,7.35,,,,0.05,,,
2020-07-09,7.79,8.2,7.15,7.35,542000,6.45,,,,-0.17,,,
2020-07-10,7.15,7.26,6.4,6.45,533300,,,,,,,,
